source_id,r_lo,r_hi,n_points,hamiltonian_residual_mean,hamiltonian_residual_p95_abs,abs_weyl_mean,abs_weyl_p95_abs,ricci_trace_mean,ricci_trace_p95_abs,eigen_gap_mean,eigen_gap_p95_abs
B08,8.0,12.0,1501,0.00010448357444175201,0.0003401360590942204,0.001626176637950118,0.002581249689683318,5.874469134719404e-05,0.00037318322574719787,0.43181535814064176,0.4846612513065338
B08,12.0,16.0,2950,2.2304718877648963e-05,5.72251610719831e-05,0.0006793370982582712,0.0011327470769174394,7.18765262142603e-06,5.831051948916862e-05,0.29669549326740324,0.4622225046157836
B08,16.0,20.0,4846,1.618060020249574e-05,6.257855238800403e-05,0.0004984774392420361,0.0012475117691792548,6.503367400487959e-05,0.00011155781430716161,0.24136676757636258,0.4528757929801941
B08,20.0,24.0,7183,3.320975251313362e-05,0.00015025647735456002,0.0006047432982222308,0.0018382948357611882,0.00020249095326719808,0.0011931039509363462,0.25908521689107633,0.4634811103343964
B08,24.0,28.0,10134,5.4050393099913703e-05,0.00022479861945612378,0.0007540602261756294,0.0027121010818518727,0.00045188806871719546,0.0028524243272841023,0.30131239182323305,0.47825762033462527
B08,28.0,32.0,13448,6.147620034422959e-05,0.0002531803445890545,0.0008786924087922056,0.003125572379212826,0.0005146653036531569,0.0030021274578757463,0.3347698141564839,0.4813928484916687
B08,32.0,36.0,17134,6.674554498675519e-05,0.0002930682414444159,0.0008888247390869782,0.0032091829809360165,0.00045630414229504135,0.0024698241264559232,0.3442997461696054,0.4819850236177444
B08,36.0,40.0,21480,6.13467540191056e-05,0.0002706212224438785,0.0008119039036761732,0.0032425427925772965,0.00043308573120243133,0.002058567292988298,0.34366706548112774,0.4820650577545166
B08,40.0,44.0,24898,5.416780915818134e-05,0.0002216572975157756,0.0007125748768233566,0.002929136343300339,0.0003581656660029155,0.0007969837548444034,0.3304641992678418,0.48235617130994796
B08,44.0,48.0,27001,3.964078532595596e-05,0.00016367359785363078,0.0005800518961461445,0.002294939011335373,0.00019417789472383486,0.00027150815003551543,0.3155039764936055,0.47901076078414917
B09,0.0,4.0,81,0.0012361692986163643,0.0025477970484644175,0.0018881699600311595,0.0026908826548606157,0.016221561883058812,0.02184976637363434,0.42562213319319264,0.4856169521808624
B09,4.0,8.0,538,0.00019247586446756681,0.0003951491235056891,0.0031849667789123704,0.0035618591238744555,0.00412862739641718,0.0100433680228889,0.45473354079909484,0.4873465240001678
B09,8.0,12.0,1484,0.0001304773312073108,0.0003521326099871657,0.0017644172243935852,0.002799298020545393,8.016055681470992e-05,0.0004440093412995337,0.40685724792374434,0.4772773638367653
B09,12.0,16.0,2938,2.8650125970463778e-05,8.99339465831873e-05,0.0007609094445661175,0.0015096973569598056,4.256153575892599e-05,0.00012707367786788404,0.2827206875557207,0.4550730064511299
B09,16.0,20.0,4802,2.9687559167246057e-05,0.00012375967344269146,0.0005873566007205896,0.0015131591295357793,0.00016596866742994116,0.0008237337344326061,0.25852639512508213,0.44647595733404155
B09,20.0,24.0,7228,4.37466176473546e-05,0.00016856982110766684,0.0005968604850007732,0.0017961855453904687,0.00036605180661553814,0.0015586457273457108,0.28255620423128885,0.4562840983271598
B09,24.0,28.0,10130,4.2402439426686856e-05,0.00015007740366854705,0.0006239249418912589,0.002349493559449911,0.0002682603539827216,0.0006264627008931669,0.3093410444329636,0.4729939475655555
B09,28.0,32.0,12935,3.7922971450227126e-05,0.00017875132907647638,0.0006515126402402225,0.0027875148225575672,0.00015147282376730048,0.0003150285076117131,0.32517863299929967,0.4783667832612991
B09,32.0,36.0,15236,5.3336497138002794e-05,0.0002036380501522217,0.0006612645862952871,0.0027523371390998363,0.00036284879412760605,0.0003639869682956487,0.3261370058542933,0.47944898158311844
B09,36.0,40.0,16333,5.176606306480885e-05,0.0002363047533435742,0.0007219184949143592,0.0030698629096150396,0.0003447386069707366,0.0009661883930675669,0.3189800546137469,0.481742924451828
B09,40.0,44.0,16617,5.838224645196315e-05,0.00022523510269820571,0.0006820771237448393,0.002792122261598705,0.00035674074588199373,0.0015150662045925816,0.3190337581166586,0.48212628364562987
B09,44.0,48.0,16982,3.921775877171945e-05,0.0001708722091279921,0.0006062547114668167,0.0019149277999531479,0.0002739659001706174,0.0013558623613789626,0.3254859622550994,0.48316514939069743
B10,0.0,4.0,80,0.002472047198261862,0.007662408542819318,0.005397879390147864,0.007196640176698565,0.02792439181357622,0.04300325457006693,0.41978537254035475,0.4788375645875931
B10,4.0,8.0,554,0.0006258578507328857,0.0012695891375187785,0.00600245891017873,0.007403512252494693,0.003860397298646377,0.013670957367867232,0.4619807042584953,0.4950727805495262
B10,8.0,12.0,1501,0.00015414053665368792,0.000456437497632578,0.002226540267214348,0.0038271918892860413,1.9378036977033707e-06,0.00045643767225556076,0.4677000379538552,0.49357539415359497
B10,12.0,16.0,2927,4.2928481176259874e-05,0.00012468961649574325,0.0008583626669946439,0.0012538755196146666,-1.3275020890285975e-05,0.00012468934874050304,0.41361821224186907,0.48557758033275605
B10,16.0,20.0,4406,1.2304766895336312e-05,3.0799571504758205e-05,0.00044951926369321055,0.0007453764119418338,-5.750374718971854e-08,3.0799361411482096e-05,0.32347049403402106,0.4650738537311554
B10,20.0,24.0,5985,1.3085520564199154e-05,5.2329119353089484e-05,0.0003282795917585495,0.0009772172663360839,4.02296583614682e-05,6.94306610967033e-05,0.2776847481174457,0.453621906042099
B10,24.0,28.0,7670,1.8775515090738338e-05,9.026791485666684e-05,0.00034768818580338155,0.0011196178966201837,0.00017449214474362097,0.0009964413242414592,0.279074351821449,0.462451209127903
B10,28.0,32.0,8908,2.5711484876999857e-05,0.00013901865168008948,0.0004308386193885034,0.0012252711108885698,0.0003243927262877097,0.0024588264292106005,0.2958819611411735,0.4790330439805984
B10,32.0,36.0,10262,3.280540366873729e-05,0.0001388049124216194,0.0005127572059528727,0.00145814103889279,0.0003322875530382946,0.002124233229551464,0.31229171033518677,0.4809155955910682
B10,36.0,40.0,11933,3.3987153854577656e-05,0.00015633082948625083,0.0005776390461543373,0.002202077815309164,0.00023504207602673778,0.0013830783544108271,0.3109763136821559,0.47756439447402954
B10,40.0,44.0,13747,4.0368236157673424e-05,0.0001782078223186543,0.00056598646799818,0.002303295116871592,0.00034764974389352345,0.001811469870153786,0.29145935208586315,0.4721344292163849
B10,44.0,48.0,15499,4.4707654490971846e-05,0.00014673991536255895,0.0005161275672034857,0.0019337135250680126,0.00036428208247683933,0.0013829407049342829,0.28146837232791433,0.470492461323738
B11,0.0,4.0,80,0.00038010075950296597,0.000522222917061299,0.00042231480656482743,0.0006602964422199875,0.007749940635403618,0.009146242681890725,0.34491344937705437,0.46665795892477036
B11,4.0,8.0,554,8.52708058536226e-05,0.00022548042179550978,0.0010459809113312379,0.0012877260916866363,0.0034348532344829897,0.006036368082277478,0.4393760961100513,0.4878206491470337
B11,8.0,12.0,1501,7.149388191497515e-05,0.00017092822236008942,0.0010201815271214628,0.0013168280711397529,0.0003215836002562832,0.001286874059587717,0.4208558760719904,0.49123460054397583
B11,12.0,16.0,2950,1.973758240253299e-05,5.113835195516002e-05,0.0005205384799687713,0.0009611649235012008,2.2291406176969165e-06,5.113843253639059e-05,0.33099384413261,0.4731328934431076
B11,16.0,20.0,4846,1.6246954948919996e-05,5.9078234698972665e-05,0.00041580228611485387,0.001389957295032218,5.8035826099927155e-05,6.82289737596875e-05,0.2959419340551676,0.46069058775901794
B11,20.0,24.0,7151,2.5594208048650423e-05,0.00010794040281325579,0.00041912237926779985,0.0019515183521434665,0.00018050851033299671,0.00013402260810835287,0.27659679347179844,0.46732906997203827
B11,24.0,28.0,9387,2.9353687328215043e-05,0.00013277678081067128,0.0004966805265883366,0.002467272314243011,0.00020407113611554538,0.00017978106334339718,0.2853175125995224,0.47702605128288267
B11,28.0,32.0,10824,4.2641059741783915e-05,0.00013017982346354989,0.0005455518130636286,0.0022349731298163555,0.0002580227562618193,0.00022181020467542157,0.3054232816597934,0.47866547107696533
B11,32.0,36.0,12220,3.1559638189506064e-05,0.00011772429061238618,0.0005479309108000536,0.0017459898663219045,0.00016702404640280704,0.0002228758829005527,0.30831399761775913,0.47570903301239015
B11,36.0,40.0,13597,3.432557636473467e-05,0.00015641240461263716,0.0005843799848740851,0.0020719046704471104,0.00014977189038691173,0.0004126887244638009,0.29924667610142025,0.4809474229812622
B11,40.0,44.0,14072,5.226883050640852e-05,0.00019521686772350195,0.0007031692636875583,0.002498659456614404,0.00037577286846581095,0.0015551105199847314,0.3126234980597473,0.4784617006778717
B11,44.0,48.0,14767,6.221767233685507e-05,0.00028798132843803527,0.0008408103936683025,0.0031858162954449655,0.0004962132723579795,0.003155729384161529,0.32712293124972774,0.4791757434606552
B12,0.0,4.0,80,0.00033911392474692546,0.0004731549590360373,0.00043838755645992934,0.0007068674138281493,0.006974876840831712,0.008285338524729013,0.2533492805436254,0.3997462749481201
